#,Champion,Games played,KDA,Win rate,Pick ratio per game,Ban ratio per game,CS,Gold
1,Kai'Sa,"5,043,800",2.47:1,49.92%,24.65%,6.99%,197.14,"12,384"
2,Miss Fortune,"4,866,151",2.36:1,51.91%,23.78%,19.37%,178.82,"12,026"
3,Caitlyn,"4,154,060",2.25:1,49.49%,20.30%,14.35%,186.79,"12,191"
4,Lux,"3,737,410",2.55:1,50.47%,18.27%,10.47%,77.28,"9,830"
5,Ezreal,"3,584,686",2.46:1,48.66%,17.52%,4.09%,181.21,"11,854"
6,Sylas,"3,181,531",2.06:1,48.81%,15.55%,11.83%,145.66,"10,859"
7,Jhin,"3,089,008",2.95:1,51.10%,15.10%,3.41%,179.8,"12,331"
8,Yone,"3,011,872",1.78:1,49.24%,14.72%,15.11%,186.84,"12,039"
9,Yasuo,"2,852,944",1.67:1,49.05%,13.94%,22.86%,193.71,"12,256"
10,Sett,"2,816,278",1.82:1,51.26%,13.76%,8.49%,160.26,"11,433"
11,Ashe,"2,798,942",2.35:1,49.86%,13.68%,3.54%,127.36,"10,630"
12,Akali,"2,656,070",2.29:1,48.31%,12.98%,17.51%,150.47,"11,156"
13,Graves,"2,596,620",2.48:1,49.12%,12.69%,11.18%,189.68,"12,673"
14,Blitzcrank,"2,586,637",2.5:1,51.39%,12.64%,33.52%,53.77,"8,477"
15,Tristana,"2,556,052",2.34:1,51.21%,12.49%,5.69%,182.62,"12,935"
16,Aatrox,"2,433,771",1.86:1,49.11%,11.89%,29.87%,169.41,"11,034"
17,Morgana,"2,404,307",2.5:1,50.76%,11.75%,29.04%,50.73,"9,206"
18,Ekko,"2,304,401",2.62:1,51.07%,11.26%,5.51%,164.38,"12,428"
19,Zed,"2,253,178",2.32:1,50.24%,11.01%,44.64%,170.34,"12,365"
20,Amumu,"2,242,068",2.35:1,52.47%,10.96%,12.49%,87.84,"9,424"
21,Darius,"2,236,511",1.83:1,49.76%,10.93%,29.23%,178.43,"11,861"
22,Jinx,"2,160,770",2.3:1,49.99%,10.56%,0.87%,190.39,"12,162"
23,Nasus,"2,148,990",2.06:1,51.91%,10.50%,12.71%,173.43,"11,446"
24,Lucian,"2,145,209",2.27:1,48.27%,10.48%,2.85%,192.81,"12,637"
25,Mordekaiser,"2,137,564",2.02:1,52.08%,10.45%,14.10%,168.96,"11,654"
26,Yuumi,"2,136,757",4.07:1,46.29%,10.44%,24.25%,7.6,"7,794"
27,Kayn,"2,092,616",2.33:1,49.40%,10.23%,12.16%,168.4,"12,234"
28,Lee Sin,"2,080,906",2.6:1,46.44%,10.17%,6.89%,144.33,"11,352"
29,Master Yi,"2,033,139",2.04:1,51.08%,9.94%,31.27%,160.8,"12,669"
30,Samira,"2,018,133",2.27:1,51.11%,9.86%,25.68%,183.73,"13,091"
31,Syndra,"2,003,643",2.24:1,50.27%,9.79%,6.85%,182.66,"12,069"
32,Maokai,"1,987,615",2.53:1,51.50%,9.71%,4.66%,102.17,"9,304"
33,Vayne,"1,970,009",1.88:1,48.82%,9.63%,9.79%,176.89,"12,267"
34,Diana,"1,928,062",2.37:1,51.36%,9.42%,5.83%,178.82,"12,450"
35,Irelia,"1,913,633",1.73:1,50.29%,9.35%,16.34%,209.21,"12,744"
36,Thresh,"1,898,849",2.56:1,48.91%,9.28%,2.02%,37.05,"7,882"
37,Viego,"1,891,741",2.31:1,48.76%,9.25%,4.29%,157.33,"11,846"
38,Garen,"1,809,489",2.14:1,51.55%,8.84%,3.96%,191.37,"12,379"
39,Viktor,"1,700,989",2.26:1,51.31%,8.31%,6.20%,189.74,"12,019"
40,Shaco,"1,694,189",2.66:1,50.31%,8.28%,22.29%,130.01,"11,673"
41,Nautilus,"1,677,570",2.27:1,49%,8.20%,10.69%,37.19,"7,742"
42,Twitch,"1,653,476",2.36:1,50.21%,8.08%,6.30%,152.41,"12,434"
43,Lulu,"1,621,721",2.94:1,48.43%,7.93%,7.73%,18.49,"7,778"
44,Pyke,"1,618,320",2.21:1,49.36%,7.91%,14.71%,42.2,"9,554"
45,Katarina,"1,611,903",2.29:1,49.95%,7.88%,8.83%,153.86,"12,140"
46,Swain,"1,584,458",2.39:1,51.73%,7.74%,4.39%,90.54,"10,161"
47,Warwick,"1,553,865",2.18:1,51.12%,7.59%,4.58%,142.36,"11,536"
48,Vex,"1,552,900",2.43:1,51.64%,7.59%,11.37%,157.83,"11,264"
49,Jax,"1,544,402",1.74:1,49.86%,7.55%,4.64%,170.41,"11,838"
