Player,Country,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
ADD,KR,TOP,5,20%,1.4,2.6,5,4.6,6.5,340,69.30%,26.5,519,1.14,0.39,0.25,0.11,-724,-14,-642,0%,20%,0,1
Aladoric,AU,SUPPORT,5,0%,1.4,0.4,4.2,5.6,1.2,209,73.80%,7.5,143,2.44,1.56,0.26,0.47,-73,2,85,20%,0%,0,-
Armut,TR,TOP,12,50%,2.8,1.8,2.9,6.3,7.8,383,61.90%,22.2,439,1.17,0.49,0.2,0.18,299,8,442,33.30%,8.30%,0,1
Arthur,KR,JUNGLE,5,0%,1.7,3,4,3.8,5.5,339,79.70%,18.5,373,1.58,0.66,0.38,0.44,-167,0,-183,20%,20%,0,1
BeanJ,VN,JUNGLE,9,33.30%,2.2,1.9,3.6,6,5,318,66%,14.8,304,1.15,0.34,0.28,0.28,-384,-5,-254,11.10%,0%,0,1
BeryL,KR,SUPPORT,5,100%,7.6,1.6,1.4,9,1.2,263,59.20%,8.6,230,2.59,1.57,0.29,0.42,456,-1,-120,20%,20%,0,2
Brance,BR,ADC,10,40%,3.4,3.6,2.8,5.9,8.3,399,68.30%,25.5,552,1.17,0.47,0.29,0.21,-27,-4,-195,30%,0%,0,2
Breathe,CN,TOP,9,77.80%,3.7,4.2,2.3,4.3,8.7,433,47.10%,23.8,546,1.01,0.36,0.18,0.18,392,8,279,33.30%,11.10%,0,7
Ceos,BR,SUPPORT,10,40%,2.5,0.6,4,9.5,1.1,229,70.70%,7.2,162,2.58,1.63,0.25,0.55,-70,2,164,30%,10%,0,1
Croc,KR,JUNGLE,10,40%,2.4,2.7,3.8,6.5,4.9,330,64.10%,16.1,365,1.31,0.36,0.27,0.39,-155,0,27,40%,0%,0,1
Deft,KR,ADC,5,100%,10.5,4.6,1.2,8,9.8,469,69%,29.6,805,1.33,0.5,0.32,0.17,853,19,587,0%,0%,0,2
Elyoya,ES,JUNGLE,12,50%,5.3,3.9,2,6.7,6,373,77.30%,14.9,300,1.66,0.32,0.57,0.31,401,10,297,66.70%,16.70%,0,2
Evi,JP,TOP,14,50%,2.1,2.2,3.7,5.6,7.4,365,55.20%,24.6,558,1.07,0.39,0.17,0.18,-99,-7,-290,21.40%,14.30%,0,2
Farfetch,TR,SUPPORT,5,0%,1.3,0.2,6.4,7.8,0.9,206,70.50%,9.5,208,2.14,1.37,0.2,0.38,-526,-8,20,20%,20%,0,-
Ferret,TR,JUNGLE,5,0%,1.8,1.4,4.8,7,4.1,278,71.60%,14.9,330,1.39,0.27,0.43,0.2,-803,-18,-666,0%,20%,0,-
Froggy,VN,MID,9,33.30%,2.8,1.6,2.7,6,7.9,362,68.20%,23.4,487,0.95,0.33,0.21,0.16,-542,-6,-1,11.10%,0%,0,1
GALA,CN,ADC,9,77.80%,9.6,4.8,1.2,7,10.3,489,65.60%,27.7,633,1.23,0.26,0.39,0.08,659,8,318,44.40%,0%,0,1
Gavotto,MX,ADC,5,20%,1.7,2.2,3.6,4,7.9,372,61.30%,19.6,384,0.8,0.37,0.31,0.14,-825,-16,-1008,0%,20%,0,-
Grell,MX,JUNGLE,5,20%,1.7,3.2,5.2,5.8,6.4,358,86.70%,23,435,1.48,0.43,0.38,0.23,-223,6,261,20%,20%,0,2
Harp,KR,SUPPORT,14,50%,2.9,0.7,3.4,9,0.9,231,68.20%,9.9,228,2.54,1.58,0.3,0.51,68,-4,-151,35.70%,21.40%,0,-
Hasmed,VN,TOP,9,33.30%,2.2,3.2,3,3.3,8,389,54.70%,23.8,486,1.16,0.42,0.27,0.21,-98,-3,-488,0%,22.20%,0,3
Holyphoenix,TR,ADC,5,0%,3.3,4.4,3,5.6,9.2,423,86.50%,22.2,498,1.1,0.35,0.24,0.11,-601,-8,-293,20%,0%,0,-
HuSha,TW,JUNGLE,5,40%,4.4,3,2.6,8.4,5,329,86.90%,16.4,301,1.1,0.3,0.26,0.3,162,-8,-156,20%,0%,0,-
Humanoid,CZ,MID,5,80%,5,5.2,1.8,3.8,8.8,451,54%,33.5,813,0.97,0.42,0.2,0.09,702,28,724,20%,20%,0,4
Hylissang,BG,SUPPORT,3,66.70%,2.1,1.3,4.3,7.7,1.2,248,57.90%,9.4,249,2.38,1.34,0.32,0.29,137,4,186,0%,33.30%,0,-
Impact,KR,TOP,10,80%,8.2,4.2,1.2,5.6,8.2,442,51.40%,26.2,570,0.97,0.35,0.17,0.14,475,1,265,30%,20%,0,5
Inspired,PL,JUNGLE,10,80%,14,2.9,0.9,9.7,5.2,346,75.80%,14.6,315,1.41,0.38,0.37,0.25,326,4,314,50%,0%,0,1
Jelly,KR,SUPPORT,5,20%,1,0.8,6,5.4,1.2,218,60%,9,163,2.3,1.38,0.25,0.45,-579,6,-476,0%,20%,0,-
Juhan,KR,JUNGLE,2,100%,8.3,3,1.5,9.5,5.7,365,69.10%,15.7,469,1.23,0.37,0.25,0.29,139,-4,98,50%,0%,0,1
Kaiser,DE,SUPPORT,12,50%,2.3,0.3,3.5,7.8,1,227,60.50%,7,138,2.5,1.53,0.36,0.45,-179,2,-532,50%,0%,0,-
Kaori,TR,ADC,10,80%,5.7,5.7,1.9,5.1,9.8,482,56.80%,24.5,525,1.07,0.31,0.29,0.06,454,5,-122,10%,0%,0,1
Kino,TW,SUPPORT,5,40%,1.8,0.2,5,9,1.1,224,64.70%,5.3,97,2.82,1.57,0.4,0.49,-381,-3,-811,20%,40%,0,-
Liang,TW,TOP,1,100%,8,3,1,5,8.4,404,61.50%,21.4,348,0.82,0.35,0.19,0.27,142,9,1164,0%,0%,0,-
Likai,TW,TOP,4,25%,2.6,1,2.3,4.8,8.2,365,34.20%,20.6,370,1.14,0.44,0.23,0.17,-313,0,261,0%,0%,0,-
Ming,CN,SUPPORT,9,77.80%,5.3,1,2.3,11.4,1,257,67.70%,7.1,173,2.75,1.64,0.31,0.48,380,4,520,55.60%,0%,0,-
Minji,TW,MID,5,40%,3.9,6,2.8,4.8,7.5,403,82.20%,24.9,451,0.81,0.32,0.15,0.17,244,-6,161,40%,20%,0,2
Nisqy,BE,MID,12,50%,3.4,3.5,2.9,6.4,8.4,408,76.30%,30.4,592,0.83,0.44,0.12,0.17,227,0,12,33.30%,0%,0,4
Pyosik,KR,JUNGLE,3,100%,6.8,1.3,1.7,10,4.1,297,59.20%,10.7,277,1.46,0.46,0.37,0.42,-301,-16,-220,33.30%,0%,0,-
Raes,NZ,ADC,5,0%,1.4,2,4,3.6,8.5,368,62.90%,21.7,437,1.07,0.36,0.27,0.12,-859,-10,-712,20%,0%,0,1
Razork,ES,JUNGLE,5,80%,4,2.4,2.6,8,6.4,369,63.50%,16.5,401,1.99,0.65,0.57,0.33,-250,9,121,20%,20%,0,1
Rhuckz,PT,SUPPORT,2,100%,-,0,0,11,1.4,255,81.20%,6.4,136,2.53,1.63,0.3,0.42,268,14,992,100%,0%,0,-
Robo,BR,TOP,10,40%,2.2,4.2,4.4,5.6,7.7,405,67.70%,27.6,626,0.95,0.44,0.14,0.16,214,5,76,30%,20%,0,9
Serin,TR,MID,5,0%,2.4,3.8,3.6,5,8,384,75.40%,34.2,764,0.51,0.22,0.11,0.04,-500,-6,-161,0%,20%,0,-
Shogun,VN,ADC,9,33.30%,4.8,4.9,1.9,4.2,10,459,67.10%,30.1,624,1.33,0.43,0.32,0.14,340,8,121,33.30%,11.10%,1,-
StarScreen,TR,TOP,5,0%,1.8,1.8,4,5.2,6.7,317,60.20%,19.2,429,0.97,0.47,0.21,0.18,-653,-12,-59,0%,20%,0,1
Steal,KR,JUNGLE,14,50%,3,1.9,3.4,8.3,4.7,305,72.80%,13.8,319,1.34,0.39,0.35,0.37,-252,-2,-292,21.40%,7.10%,0,-
Taki,VN,SUPPORT,9,33.30%,3,1,3.1,8.2,1.1,243,66.80%,7.9,165,2.72,1.68,0.4,0.43,145,-4,332,33.30%,33.30%,0,1
Tally,AU,MID,5,0%,1.9,1.6,3.4,4.8,8.2,353,63.40%,26.1,509,0.85,0.41,0.06,0.08,-1448,-18,-543,0%,40%,0,2
Tinowns,BR,MID,10,40%,3.7,3.2,2.5,6.1,8,387,66.70%,23.6,522,1.03,0.44,0.2,0.24,-113,-18,-465,20%,0%,0,-
Topoon,KR,TOP,5,0%,1.3,1.8,3.8,3,7.6,347,50%,26.1,516,0.93,0.44,0.18,0.12,-426,0,-221,0%,20%,0,-
UNF0RGIVEN,SE,ADC,12,50%,4,4,2.3,5.1,8.9,429,64.20%,25.6,509,0.88,0.36,0.24,0.12,-593,-10,16,33.30%,0%,0,1
Upset,DE,ADC,5,80%,25,5.4,0.4,4.6,10.4,483,69.80%,21.7,524,1.21,0.48,0.26,0.14,115,14,232,20%,0%,1,1
Vulcan,CA,SUPPORT,10,80%,7.5,0.8,1.7,11.9,1,253,68.10%,8.6,184,2.6,1.46,0.3,0.39,175,-2,315,20%,20%,0,-
Wako,TW,ADC,5,40%,4.5,2.6,2,6.4,9.6,432,60.80%,32.6,588,1.09,0.37,0.26,0.17,-78,-6,247,0%,0%,0,-
Wei,CN,JUNGLE,9,77.80%,8.6,3.7,1.4,8.8,5.7,379,68.60%,15.5,377,2.22,0.65,0.57,0.44,833,4,332,77.80%,0%,0,1
Wunder,DK,TOP,5,80%,3.3,1.4,2,5.2,8.6,386,37.70%,20,489,0.92,0.44,0.13,0.14,-235,5,61,0%,0%,0,-
Yaharong,KR,MID,14,50%,3.1,3.7,2.8,5,9.1,421,59.10%,27.3,630,0.81,0.24,0.2,0.13,216,12,38,14.30%,7.10%,0,4
Yutapon,JP,ADC,14,50%,3.6,5.3,2.7,4.5,9.7,457,61.60%,24.4,581,1.17,0.31,0.4,0.09,59,1,269,28.60%,7.10%,0,4
Zeka,KR,MID,5,100%,15.3,7.4,0.8,4.8,10.8,525,66.40%,28.2,769,0.82,0.28,0.16,0.16,1292,17,637,0%,0%,0,5
jojopyun,CA,MID,10,80%,4.2,3.7,2.6,7.1,7.8,395,66.30%,26,569,1.25,0.37,0.31,0.17,65,0,94,20%,10%,0,5
kingen,KR,TOP,5,100%,3.7,2.8,2.4,6,8,403,48.80%,21,571,1.02,0.32,0.23,0.18,-89,-3,-134,20%,40%,0,1
seiya,MX,MID,5,20%,2,1.8,3.2,4.6,7.7,342,55.30%,21.8,420,0.89,0.28,0.24,0.12,-1169,-10,-549,20%,0%,0,-
xiaohu,CN,MID,9,77.80%,5.1,4.3,2.3,7.6,8.6,435,65.40%,26,570,0.99,0.3,0.24,0.14,445,4,188,11.10%,0%,0,3
