Column1,Column2,Column3,Column4,Column5,Column6
10,Alistar,4,0.4955,0.0291,0.0061
1-Feb,Amumu,2,0.5136,0.0604,0.0985
30,Ashe,3,0.4941,0.0479,0.0092
40,Bard,3,0.5113,0.031,0.0034
50,Blitzcrank,1,0.5212,0.0968,0.3333
60,Brand,3,0.5021,0.0287,0.0088
70,Braum,4,0.4931,0.0227,0.0021
2-Aug,Heimerdinger,3,0.4999,0.0341,0.0257
90,Janna,2,0.5228,0.0558,0.02
100,Karma,2,0.49,0.0834,0.0198
2-Nov,Leona,3,0.4956,0.0542,0.0484
121,Lulu,2,0.4834,0.1131,0.1393
13-1,Lux,2,0.5014,0.0697,0.0116
14-1,Maokai,2,0.5252,0.0357,0.0144
150,Miss Fortune,5,0.4162,0.0239,0.0132
161,Morgana,2,0.501,0.0599,0.1854
170,Nami,1,0.5182,0.1448,0.0286
18-1,Nautilus,2,0.4934,0.089,0.114
190,Pantheon,5,0.47,0.0122,0.0015
200,Pyke,2,0.4995,0.0762,0.1284
21-1,Rakan,4,0.4851,0.0322,0.0017
220,Rell,3,0.5197,0.0191,0.0036
231,Renata Glasc,2,0.51,0.0635,0.0349
240,Senna,3,0.4927,0.0551,0.0207
251,Seraphine,3,0.5044,0.0295,0.006
261,Shaco,4,0.5099,0.0113,0.0216
272,Sona,2,0.5316,0.0301,0.0014
28-2,Soraka,2,0.5084,0.0648,0.0299
291,Swain,3,0.5072,0.0283,0.0074
30-1,Tahm Kench,5,0.4554,0.0065,0.0014
312,Taric,2,0.5297,0.0166,0.0027
321,Thresh,2,0.5007,0.1144,0.0259
330,Twitch,4,0.4861,0.0134,0.0108
340,Vel'Koz,4,0.503,0.0184,0.0017
350,Xerath,3,0.4971,0.0422,0.0228
36-1,Yuumi,2,0.48,0.1118,0.4157
371,Zac,5,0.4614,0.0052,0.0032
38-1,Zilean,2,0.5128,0.0357,0.0179
392,Zyra,2,0.5193,0.037,0.0134
