Tournament,W/L,Side,Bans Champions,Picks Champions,Players
"International,Worlds 2022 Main Event",Win,Red,"Yuumi,Aatrox,Graves,Taliyah,Ashe","Gragas,Viego,Azir,Varus,Renata Glasc","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Win,Red,"Yuumi,Aatrox,Graves,Taliyah,Galio","Gangplank,Nocturne,Ryze,Lucian,Nami","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Win,Blue,"Sejuani,Viego,Aatrox,Vi,Renekton","Yone,Poppy,Ryze,Lucian,Nami","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Loss,Blue,"Sejuani,Sylas,Aatrox,Ornn,Renekton","Camille,Vi,Galio,Lucian,Nami","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Win,Red,"Yuumi,Lissandra,Fiora,Kai'Sa,Lucian","Yone,Sejuani,Akali,Varus,Tahm Kench","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Win,Red,"Lissandra,Aatrox,Yuumi,Aphelios,Tristana","Jayce,Viego,Akali,Xayah,Renata Glasc","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Win,Blue,"Lissandra,Fiora,Jax,Galio,Taliyah","Camille,Graves,Viktor,Ashe,Heimerdinger","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Win,Red,"Yuumi,Caitlyn,Fiora,Akali,Viego","Gangplank,Sejuani,Viktor,Kalista,Soraka","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Win,Blue,"Viktor,Azir,Renata Glasc,Alistar,Draven","Jayce,Sejuani,Sylas,Lucian,Nami","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Win,Blue,"Azir,Viktor,Renata Glasc,LeBlanc,Renekton","Yone,Sejuani,Sylas,Sivir,Yuumi","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Win,Red,"Yuumi,Sejuani,Maokai,Renata Glasc,Tahm Kench","Aatrox,Viego,Lissandra,Kai'Sa,Alistar","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Loss,Red,"Maokai,Sejuani,Yuumi,Pyke,Kalista","Jax,Viego,Akali,Aphelios,Thresh","Zeus,Oner,Faker,Gumayusi,Keria"
"International,Worlds 2022 Main Event",Win,Blue,"LeBlanc,Maokai,Graves,Renekton,Jarvan IV","Fiora,Lee Sin,Akali,Sivir,Yuumi","Zeus,Oner,Faker,Gumayusi,Keria"
