Champion,Ban %,Total,Blue,Red,P1 Total,P1 Blue,P1 Red,P2 Total,P2 Blue,P2 Red
Yuumi,84,63,9,54,63,9,54,0,0,0
Caitlyn,77.3,58,24,34,57,24,33,1,0,1
Aatrox,76,57,17,40,57,17,40,0,0,0
Sejuani,50.7,38,20,18,33,17,16,5,3,2
Maokai,46.7,35,20,15,35,20,15,0,0,0
Graves,44,33,20,13,27,18,9,6,2,4
Azir,37.3,28,12,16,24,12,12,4,0,4
Sylas,37.3,28,13,15,21,12,9,7,1,6
Lucian,32,24,16,8,16,10,6,8,6,2
Fiora,30.7,23,17,6,16,12,4,7,5,2
Renekton,30.7,23,14,9,2,2,0,21,12,9
Akali,26.7,20,9,11,7,6,1,13,3,10
Renata Glasc,24,18,11,7,4,4,0,14,7,7
Viego,22.7,17,12,5,6,6,0,11,6,5
Viktor,20,15,5,10,5,4,1,10,1,9
Ornn,20,15,10,5,5,5,0,10,5,5
LeBlanc,18.7,14,7,7,5,5,0,9,2,7
Kalista,17.3,13,6,7,6,3,3,7,3,4
Heimerdinger,14.7,11,7,4,8,5,3,3,2,1
Nautilus,14.7,11,6,5,0,0,0,11,6,5
Camille,13.3,10,4,6,1,1,0,9,3,6
Lissandra,12,9,4,5,8,4,4,1,0,1
Poppy,12,9,4,5,2,2,0,7,2,5
Jarvan IV,10.7,8,4,4,1,0,1,7,4,3
Varus,10.7,8,7,1,3,3,0,5,4,1
Aphelios,10.7,8,5,3,2,2,0,6,3,3
Draven,9.3,7,3,4,3,1,2,4,2,2
Taliyah,9.3,7,4,3,1,1,0,6,3,3
Lee Sin,8,6,4,2,0,0,0,6,4,2
Thresh,8,6,3,3,0,0,0,6,3,3
Vi,8,6,4,2,0,0,0,6,4,2
Amumu,6.7,5,3,2,0,0,0,5,3,2
Gangplank,6.7,5,3,2,0,0,0,5,3,2
Jax,6.7,5,3,2,4,3,1,1,0,1
Ryze,6.7,5,5,0,3,3,0,2,2,0
Trundle,6.7,5,3,2,1,1,0,4,2,2
Gnar,6.7,5,3,2,0,0,0,5,3,2
Kaisa,6.7,5,3,2,1,0,1,4,3,1
Pyke,6.7,5,3,2,0,0,0,5,3,2
Belveth,6.7,5,3,2,2,1,1,3,2,1
Ashe,5.3,4,1,3,0,0,0,4,1,3
Galio,5.3,4,2,2,2,1,1,2,1,1
Nidalee,5.3,4,3,1,1,0,1,3,3,0
Tristana,5.3,4,2,2,2,1,1,2,1,1
Gragas,4,3,3,0,0,0,0,3,3,0
Karma,4,3,2,1,0,0,0,3,2,1
Leona,4,3,2,1,0,0,0,3,2,1
Soraka,4,3,3,0,0,0,0,3,3,0
Senna,4,3,1,2,3,1,2,0,0,0
Alistar,2.7,2,1,1,0,0,0,2,1,1
Ezreal,2.7,2,1,1,0,0,0,2,1,1
Hecarim,2.7,2,1,1,0,0,0,2,1,1
Jayce,2.7,2,1,1,0,0,0,2,1,1
Jinx,2.7,2,0,2,0,0,0,2,0,2
Karthus,2.7,2,2,0,0,0,0,2,2,0
Kennen,2.7,2,0,2,0,0,0,2,0,2
Mordekaiser,2.7,2,2,0,0,0,0,2,2,0
Sivir,2.7,2,0,2,1,0,1,1,0,1
Syndra,2.7,2,0,2,1,0,1,1,0,1
Braum,2.7,2,2,0,0,0,0,2,2,0
Tahm Kench,2.7,2,1,1,0,0,0,2,1,1
Kayn,2.7,2,1,1,1,1,0,1,0,1
Yone,2.7,2,1,1,1,1,0,1,0,1
Seraphine,2.7,2,2,0,2,2,0,0,0,0
Rell,2.7,2,1,1,0,0,0,2,1,1
Nilah,2.7,2,1,1,0,0,0,2,1,1
Ahri,1.3,1,1,0,0,0,0,1,1,0
Darius,1.3,1,1,0,0,0,0,1,1,0
Fiddlesticks,1.3,1,0,1,1,0,1,0,0,0
Lulu,1.3,1,1,0,0,0,0,1,1,0
Miss Fortune,1.3,1,0,1,0,0,0,1,0,1
Nami,1.3,1,1,0,1,1,0,0,0,0
Nocturne,1.3,1,1,0,1,1,0,0,0,0
Olaf,1.3,1,0,1,1,0,1,0,0,0
Singed,1.3,1,1,0,1,1,0,0,0,0
Swain,1.3,1,1,0,1,1,0,0,0,0
Rakan,1.3,1,1,0,0,0,0,1,1,0
Sett,1.3,1,1,0,1,1,0,0,0,0
Anivia,0,0,0,0,0,0,0,0,0,0
Annie,0,0,0,0,0,0,0,0,0,0
Blitzcrank,0,0,0,0,0,0,0,0,0,0
Brand,0,0,0,0,0,0,0,0,0,0
Cassiopeia,0,0,0,0,0,0,0,0,0,0
Chogath,0,0,0,0,0,0,0,0,0,0
Corki,0,0,0,0,0,0,0,0,0,0
Diana,0,0,0,0,0,0,0,0,0,0
Dr. Mundo,0,0,0,0,0,0,0,0,0,0
Elise,0,0,0,0,0,0,0,0,0,0
Evelynn,0,0,0,0,0,0,0,0,0,0
Fizz,0,0,0,0,0,0,0,0,0,0
Garen,0,0,0,0,0,0,0,0,0,0
Irelia,0,0,0,0,0,0,0,0,0,0
Janna,0,0,0,0,0,0,0,0,0,0
Kassadin,0,0,0,0,0,0,0,0,0,0
Katarina,0,0,0,0,0,0,0,0,0,0
Kayle,0,0,0,0,0,0,0,0,0,0
KhaZix,0,0,0,0,0,0,0,0,0,0
KogMaw,0,0,0,0,0,0,0,0,0,0
Lux,0,0,0,0,0,0,0,0,0,0
Malphite,0,0,0,0,0,0,0,0,0,0
Malzahar,0,0,0,0,0,0,0,0,0,0
Master Yi,0,0,0,0,0,0,0,0,0,0
Morgana,0,0,0,0,0,0,0,0,0,0
Nasus,0,0,0,0,0,0,0,0,0,0
Nunu,0,0,0,0,0,0,0,0,0,0
Orianna,0,0,0,0,0,0,0,0,0,0
Pantheon,0,0,0,0,0,0,0,0,0,0
Quinn,0,0,0,0,0,0,0,0,0,0
Rammus,0,0,0,0,0,0,0,0,0,0
Rengar,0,0,0,0,0,0,0,0,0,0
Riven,0,0,0,0,0,0,0,0,0,0
Rumble,0,0,0,0,0,0,0,0,0,0
Shaco,0,0,0,0,0,0,0,0,0,0
Shen,0,0,0,0,0,0,0,0,0,0
Shyvana,0,0,0,0,0,0,0,0,0,0
Sion,0,0,0,0,0,0,0,0,0,0
Skarner,0,0,0,0,0,0,0,0,0,0
Sona,0,0,0,0,0,0,0,0,0,0
Talon,0,0,0,0,0,0,0,0,0,0
Taric,0,0,0,0,0,0,0,0,0,0
Teemo,0,0,0,0,0,0,0,0,0,0
Tryndamere,0,0,0,0,0,0,0,0,0,0
Twisted Fate,0,0,0,0,0,0,0,0,0,0
Twitch,0,0,0,0,0,0,0,0,0,0
